id,value
000000Kimo,1
000120o,2
003avalanche,1
0073Simpkins,1
007Rukdme,1
007_MEXICAN,1
007cigarjoe,1
007darB,2
007harvey,3
007ofNJ,1
00Aventus,1
00Lilac_Sky00,1
00X00X001,1
00XXX369,1
010644france,1
01Anonyms,3
01MB,1
01_zebra,1
01greenen,6
01qXw2Cpyu4Dbuy,1
0226Amanda,1
028Clark,1
02Cents0,3
02_chikita,1
02d5efae839e4ca,1
0321jail,2
032st0,1
0376versusxv,1
03Ava,1
03hannah11,1
0406Guno,1
0463diamond,2
04masaki05,1
0504MN_,1
0517nishimoto,1
05miwe,1
0610_max,1
07857_258669,1
07_andreus,1
07_tedd,1
0818steve,1
08582165c,1
0886067968,1
08CBR1000,1
09072021,2
096_kevin,1
0R93ocAun8qhm2C,1
0SOS_SavedUsAll,1
0VYYKINel49b58H,1
0WoGju5Gjjf4Bv0,1
0Z9aJqcBqeswszw,1
0_0_Pmichael,1
0_697Nigga,1
0_oTrump_Girl,1
0a0992e80ccf4e0,3
0aisha7,1
0bservador_,1
0cAmuSGoJiPxVDb,1
0d74125c047c43b,1
0ddeeda0db59441,1
0drat,1
0fficerSoAndSo,1
0fficialCR7,1
0l1l2,1
0sos_picimagine,1
0toygunanthem0,2
0u2mGHkvEz4UIsg,1
0u812B,2
0urJohnAdams,1
0vejanegra,1
0weiDE,1
100011crusader,1
1000MoonsAgo,1
1000histoires,2
1000ptsoflight,1
1000thghost,1
1001ptUS,3
1001ptsBR,1
1001ptsDE,2
1001ptsES,3
1001ptsPL,1
1001ptsPT,1
1001ptsUK,1
1001ptsfr_ca,1
100Concerned,2
100IntegrityNet,1
100Left,4
100PercFEDUP,2
100ProofPink,1
100_basher,1
100blackstone,1
100colefood,2
100dayslove,5
100degreebot,1
100epal,1
100melanin,1
1019dotty,1
101_Eternity,1
101born,1
101gossipdotcom,2
101pisexl,1
102415A,1
1029tak,3
102TouchFM,1
1031Arctic,1
105SIE3,1
1060558742,1
10696847,1
106comms,1
107Loi,3
108_carla,2
10903,2
10995May,1
1099rock,6
10FM982,1
10Kittties,1
10Stever,1
10ThoughtsToday,1
10_jperez,1
10ball50,1
10fifteen,2
10jhez10,1
10kbc,3
10thAmendment,2
10thCrusader,1
1101110112,1
1103cbts,1
1111_PS,1
1112e_,1
1113JD,1
111Flisans,1
111publishing,2
1122flowerchild,1
1140WRVA,1
1153red,1
11B_Mic,1
11Marbel,1
11Sevi8Lau,1
11StealthKnight,1
11gawa,1
11ldj99,1
11ofus,1
11plus1TrueHawk,1
11worldpeace,2
11xBDDb7YZBCola,1
120w_max,1
1216BJ,2
121Sonu0,1
1231tab,1
12345678910_yes,1
12345678merlin,1
123456abcG,1
12357Prime,1
123Polesworth,1
123Stand4Truth,1
123cumflywithme,1
123myrodeo,1
123oneway,1
123onlytrump,1
123trail34,1
1240_dddulce_me,1
124578JGonz,1
125nm1,2
127Den,1
12Balboa,1
12Bravo20Dave,1
12Gauge52,1
12Pativog,1
12Sherwoodcp,1
12ceden,1
12plong03,1
12thManHawkFan,2
12voltman60,1
1306Pootie,3
13072013Phoenix,1
1310WIBA,1
1337_Bruce,1
135241563182,1
13AlphaOmega,1
13DavidAlan,1
13JustAFan,2
13NewsNow,1
13Trump,2
13WJM,2
13rendanB,1
13rowneyes,1
13thPanther,1
13thmuse,1
13thtruck,1
1413hardy,1
1453_kubra,1
1460insults_DJT,1
1461Trump,1
1461daysofhope,2
147DW,1
1488Chan,1
149049c1e543418,1
14InTheMountain,1
14RickL88,1
14fp,1
14gunrites,1
14me24u2,2
150Trapshooter,1
1549321s,5
155places,1
155thMed,1
1563ita,1
1596SY,1
15_Athens,2
15fjanttratten,1
1600AM,1
1600thecat,1
16campaignbites,2
16cb6b7fb30d4b2,1
16muddypaws,1
16theyr,1
1712moro,1
1718106J,1
1764Neltron,1
1776Solution,1
1776_Media,2
1776_Pro2A,1
1776guardian,1
1776ie,1
1776nutt,1
1776tamara,1
1787American,1
17DISH,1
17Enemies,1
17Patriot76_,1
17Slickman,1
17meigoo,1
17thCard,1
17vwr,2
1813Doncarlo,2
1813ade02e454d9,1
1893Chief,1
18Elecciones,2
18_heart_,1
18cingirl,1
1900matt,1
1916elisa,1
192a3013f390476,1
19431960,1
1944jnewell,1
1947viking,1
1955gregory,1
1958William,1
1960drm,1
1960er_Jimmy,1
1961_massey,1
1961dsp,1
1962Gers,1
1963Kelli,1
1963salman,1
1964Alvaradosky,5
1964Deplorable,1
1964Greg,1
1964T,1
1964_william,2
1964sgwilson,1
1967_1969,1
1967pontiactig1,1
1967rtSteve,1
1968Kj,1
1969tttt,1
1975dobies,1
1979monica,1
1980Powercat,1
1981_jain,1
1981meagan,2
19821102Hirosi,1
1982JJessin,1
1985toyota,1
1987leigh,1
1989Lamb,1
1993Armas,1
1997American,1
19Dolphin39,2
19cc26973bf14d5,1
19hidalgomex,1
19leh59,1
19magickman64,3
19margie64,1
19natela,1
19stewart95,1
1AOrtiz,1
1AlOpondo,1
1AllHearingEar,1
1AndOnlyDeuce,1
1AngryMonster,1
1AtheistTeacher,1
1BLKMOUNTAIN,1
1Babtou,1
1BadBoy,1
1Bbacon,1
1BocaMom,1
1CaptD,1
1ChiefsDan,1
1ClickBiz,3
1ColombianAngie,1
1ComputerRunner,1
1CrazyBeach,1
1CreativThinker,1
1Crjohnson,1
1CrzyBlessdLife,1
1Cybernaut,1
1Dakikada,1
1DieReportage,1
1Dittlinger,1
1Dosx3,1
1DougSimpson,1
1Fashionisima,1
1FishingGoddess,1
1Freddycmusic,1
1GKh,1
1Iodin,2
1JadeVictoria,1
1JenNYC,1
1Kat72,1
1KickAsh,1
1Kimsey,3
1KnowledgePower,1
1KrisO1,1
1LaneOnly,1
1Legija,1
1LiberalCat,1
1Luv2,3
1MDA44,1
1MaisonRouge,1
1Mamabear22,1
1Manchu9,1
1MarkSimpson,1
1MarkVincent,1
1MileToNowhere,1
1NadineSmith,3
1NiteStandUpGuy,1
1NorthStar,1
1Noticio,1
1Ozcar,1
1PKBelle,3
1PercenterHater,1
1Progressivism,1
1Pt21Doggywatts,1
1RHashimoto,1
1RagingBuddha,2
1RealGirlWriter,1
1RedTulie,2
1SG50,1
1SG_K_Tx,1
1SPIRIT_RISING,1
1STALLSPORTSAPP,1
1SarahBeth,1
1SourceNewsUSA,1
1SquirrelRabbit,1
1StarFleetCadet,2
1SteveEssendrup,1
1StormCrow1,1
1SupremeGoddess,1
1Swinging_Voter,1
1TD,3
1T_sauro,1
1Techsan,1
1ThatsTrue,2
1TheEnlightened,1
1Tommysmom1,1
1TrumpMAGA,1
1USNews,1
1UrbanEarring,1
1VXcvj2gLEr62mg,1
1VoiceMatters,1
1WonderfulMom,1
1_Hoof_Hearted,1
1_Jerry_2,1
1_NightRaven,1
1_Search_org,2
1_bird_in_hand,1
1_cendy,1
1_karver,1
1_newsnet,1
1_scorpio,1
1alienfrommars,1
1amorgan,1
1arupprec,1
1azylizzie,1
1barbiv,1
1baronjennyson,1
1bchambers,1
1bitcoindaily,1
1blessedbee,1
1bluecollarman,2
1bonytoad,1
1bowman5,1
1butterflywild,6
1canadagirl,1
1ch_allenger,1
1chefdiva,2
1chief__rocka,1
1chilladynaz,1
1cliffgordon,1
1corrupthillary,1
1crazystlgal,1
1csethi,1
1currentworld,1
1darrenjennings,1
1dd129eb2b6c4c9,1
1ditorial,1
1dognan,1
1faeuIvNc5Oglm9,1
1fellswoop7,1
1finekitty,1
1flwpbmll,1
1foreverseeking,1
1france2systems,1
1freetruth,1
1g6piCfqIu9QI6Y,1
1grafixking,1
1hardkernel,2
1hinky1,1
1hippoallalone,1
1inhalfabillion,1
1jamesclark1,1
1jcc,3
1jelliott1,2
1johnG,1
1joseluis752,1
1juanzepeda,1
1julesc,2
1kanakaAmakee,1
1kathyr,3
1kenwilson24,1
1kickassmarines,1
1life2give,1
1liners,2
1lisbongirl,1
1loriking,3
1loveinme,1
1lowbattery,2
1lucasnoll,2
1maryalice,1
1meankitty,1
1mediocre,1
1missypooh,1
1mnieto,1
1more4_Trump,1
1moregyllenhaal,1
1morevet,1
1motomami,2
1mtpete001,1
1nancyschindler,1
1nePhenomenalMe,1
1newyorkmetsfan,1
1nillywilly1,1
1nomore1,1
1of74074037,2
1ofabev,1
1ofakndLizzy,1
1oftheJonesboys,1
1olderthebetter,1
1openbrain,1
1outspoken1,1
1pantsuiter,1
1pattydaniel,1
1personamerican,1
1peterdop,1
1proudamcitizen,4
1ravac,1
1rdEnfantrySdz,1
1redneckgrandma,1
1redroom1,1
1remyi,1
1rgoldy,1
1rhondac,2
1rishinfidel,1
1saespana,1
1sland2,1
1stAmend_Rights,1
1stAmendment_1A,1
1stAztecWarrior,1
1stFanofChicago,3
1stGrumpydude,2
1stIrregulars,1
1stSvelteCelt,4
1stThunderThief,2
1stTimeVoter216,1
1st_experts,1
1staidgirl,1
1stayinformed,2
1sthappysodme,1
1streddawg,1
1stworldmusic,1
1summerstar1,2
1sweettweet4u,1
1t1tamanda,1
1thinchip,3
1whoknock,1
1xfly,1
1yomario,1
1zzyzyx1,1
2000Lamb,1
